id,title,location,price,m2,type,status,floor,description,n_photos,n_rooms,n_bathrooms,particular,luxury,video,virtual_tour,3d_tour,plane,air_conditioning,heating,elevator,furnished,terrace,consume,emisions
104824591,Piso en venta en calle Reino Unido,Buenavista-Valparaíso-La Legua,317990,120,flat,Segunda mano/buen estado,Planta 1ª exterior,"Agencia inmobiliaria en Toledo zona Avenida Europa - Tecnocasa ESTUDIO CIUDAD DEL GRECO SLUVENDE PISO EN TOLEDO, en Calle Reino Unido.La vivienda se encuentra en una urbanización privada con zonas comunes y PISCINA COMUNITARIA.El piso está compuesto por amplio SALÓN, COCINA amueblada y equipada con electrodomésticos, terraza-tendedero, 3 DORMITORIOS y 2 BAÑOS COMPLETOS. El dormitorio principal dispone de baño en suite.Cuenta con ARMARIOS EMPOTRADOS y AIRE ACONDICIONADO.Vivienda COMPLETAMENTE EXTERIOR.Se entregará con plaza de GARAJE en el mismo bloque.Accede al TOUR VIRTUAL a través de nuestra página web.La vivienda se encuentra en la zona de la Av. Europa, uno de los mejores barrios de Toledo con todos los servicios primarios y de ocio a escasos metros, como colegios, supermercados, centro de salud, farmacia, tiendas, bares, restaurantes y una estupenda comunicación con la línea de autobuses urbanos que comunica con todo el municipio de TOLEDO. También se encuentra situada con una excelente comunicación tanto de entrada como de salida a la ciudad de Toledo, permitiendo que en escasos minutos se pueda acceder o salir a la autovía a-42.",40,3,2,False,False,False,False,False,True,True,Calefacción individual: Gas natural,True,,,C,C
105360465, Chalet adosado en venta en Buenavista-Valparaíso-La Legua,Toledo,298000,199,house,Segunda mano/buen estado,2 plantas,"CHALET ADOSADO en 3 plantas en Valparaíso (Toledo). Con PISICNA COMUNITARIA. Cuenta con amplio GARAJE para 1 coche. En 1ª planta SALÓN a dos alturas, COCINA con DESPENSA y 1 ASEO. Con salida al PATIO. Y en 2 planta, 4 DORMITORIOS y 2 BAÑOS. Uno de los dormitorios cuenta con dos ventanas de grandes dimensiones. La vivienda cuenta con AIRE ACONDICIONADO Y CALEFACCIÓN DE GAS NATURAL. Dispone de zonas comunes: pistas de fútbol, canchas de tenis, zonas verdes.SALÓN a dos alturas, zona de descanso donde situar el sofá con la TV abajo, y zona de COMEDOR donde se coloca la mesa con sillas en la zona más alta, desde la cual se accede a la COCINA.DORMITORIOS amplios, luminosos, con ARMARIOS EMPOTRADOS. DORMITORIO principal tipo suite con BAÑO incorporado, el cual cuenta con BAÑERA con mampara, y como extra con ventana exterior, ideal para una correcta ventilación. Dispone de zona a modo VESTIDOR. COCINA amplia, luminosa, con mobiliario alto y bajo, gran capacidad de almacenaje, alto y bajo, con espacio para situar todos los electrodomésticos: horno, frigorífico, lavavajillas, vitrocerámica, etc. Con espacio para situar una mesa con sillas, ideal para comidas y/o cenas informales.Otro de los BAÑOS es completo con bañera.El inmueble cuenta con terraza de amplias dimensiones, donde poder situar hamacas a modo solárium, o una mesa con sillas, ideal para momentos en familia y/o con amigos, donde disfrutar de una comida y/o cenas con vistas a Toledo.El inmueble cuenta con GARAJE amplio para un coche, y con espacio para almacenaje extra a modo trastero, ideal para una correcta organización de la vivienda. La urbanización cuenta con pistas deportivas, zonas verdes, PISCINA COMUNITARIA, etcétera. REFERENCIA DEL INMUEBLE: TOTOBU1170Si quieres visitarlo, llámanos ahora y acuerda una visita sin compromiso. La Botica Inmobiliaria es la primera inmobiliaria de TARIFA PLANA.Con La Botica Inmobiliaria puedes vender tu casa desde una tarifa fija de 1.650 € + IVA.Si vendes o alquilas tu casa te ofrecemos un servicio de marketing exclusivo, realizando una difusión simultánea en más de 50 portales inmobiliarios, haciendo fotos y planos profesionales y dando asesoramiento completo desde el inicio hasta el final.Entra en nuestra web y VENDE tu casa con La Botica Inmobiliaria AHORRANDO miles de euros en comisiones. ¿Por qué no?*Precio fijo, sin % comisión *Sin pagos mensuales, ni por adelantado *Consigue el mejor precio.Entra en y consigue una valoración gratuita de tu vivienda.****Precio fijo, sin % de comisión.****Sin pagos mensuales.****Sin pagos por adelantado.Infórmate en nuestro sitio web de todas las condiciones.*Este anuncio no es vinculante, puede contener errores, se muestra a título informativo y no contractual.Gastos de compraventa y honorarios NO incluidos en el precio.",61,4,3,False,False,False,False,False,False,True,Calefacción individual: Gas natural,,,Terraza,C,
98420492, Casa o chalet independiente en venta en Buenavista-Valparaíso-La Legua,Toledo,750000,400,house,Segunda mano/buen estado,,"MAISONDIX ofrece CHALET INDEPENDIENTE en Urbanización CIGARRALES DE VISTAHERMOSA TOLEDO.Ubicada en una de las mejores Urbanizaciones de la ciudad, se encuentra esta vivienda principalmente en UNA PLANTA con dos amplios porches, PISCINA y jardín.Todas las estancias principales se distribuyen en la planta de acceso para conseguir que la comodidad sea, sin lugar a dudas, la característica más destacable de la casa, amplio hall de entrada que da acceso a salón - comedor con salida al porche, cocina más habitación de lavado y despensa, dos habitaciones en suite con amplio vestidor cada una de ellas con baño incorporado, en la misma planta encontramos dos dormitorios más y baño.Planta superior, la galería distribuye dos habitaciones cada una de ellas con amplia terraza con vistas y baño. Detalles"" Suelos de tarima y suelos de piedra caliza en salón, amplios ventanales, vidrio de seguridad bajo emisivos y control solar, así como Fibra óptica 500mb, salón con chimenea en cassette, A/A""Dispone de DOS VIVIENDAS de invitados junto a porche y piscina totalmente equipadas, con cocinas.GARAJE exterior para cuatro coches.Ubicada a 1’5km del centro de TOLEDO y 35 min de MADRID, zona con Colegio Privado International School San Patricio TOLEDO, Club Social MONTEVERDE.“La CASA PERFECTA con las COMODIDADES de una GRAN CIUDAD”.",29,6,4,False,True,False,False,False,False,False,,,,Terraza y balcón,C,
105177767,Piso en venta en ronda Buenavista,Buenavista-Valparaíso-La Legua,255000,115,flat,Segunda mano/buen estado,Planta 2ª exterior,"MAISONDIX ofrece PISO EXTERIOR TRES habitaciones, ubicado en zona residencial principal de Toledo. Distribución hall, amplio salón exterior con terraza, cocina amueblada totalmente equipada y acceso a terraza cerrada, un dormitorio en suite con vestidor y baño, dos habitaciones un baño. Urbanización cerrada con PISCINA zonas ajardinadas. Cuenta con plaza de GARAJE y TRASTERO. Disponible a partir de noviembre de 2024.MUCHAS DE NUESTRAS PROPIEDADES NO APARECEN EN IDEALISTA, CONSULTA NUESTRA PÁGINA WEB PARA VER MÁS PROPIEDADES EXCLUSIVAS.",8,3,2,False,False,False,False,False,False,False,Calefacción individual,True,,Terraza,C,
105200805,Piso en venta en Buenavista-Valparaíso-La Legua,Toledo,340000,110,flat,Segunda mano/buen estado,Planta 3ª exterior,"Piso con dos piscinas, pista de padel, pista de fútbol sala, baloncesto y área infantil comunitarios en urbanización cerrada.A/A por conductos en salón y dormitorios.Todo exterior, mucha luz natural.4 armarios empotrados vestidos, tres con cajoneras y el armario de entrada.Bien comunicado, con autobuses de linea urbana cada 20 minutos, parada de taxi a excasos metros y fácil salida a la circunvalación TO-20.Barrio muy tranquilo y con mucha vida en la calle, con todos los servicios a mano, al lado de colegios, institutos, del centro de salud, supermercados, bares con terrazas, restaurantes, etc.Distancias en coche a sitios de interés: A 10 km del hospital universitario y del parque temático Puy de Fou, a 3 km de la estación del Ave y de la estación autobuses.",24,3,2,False,False,False,False,False,False,True,Calefacción individual: Gas natural,True,,,C,
100131349,Piso en venta en ronda Buenavista,Buenavista-Valparaíso-La Legua,269900,80,flat,Segunda mano/buen estado,Planta 1ª exterior,"GRUPO SUPERCASA VENDE Piso A ESTRENAR de 90m² en una de las mejores zonas de Toledo compuesto de amplio salón luminoso con terraza con vistas hacia el Parque de Ciudad de Nara, cocina americana con posibilidad de instalar isla, además cuenta con terraza/tendedero, 3 dormitorios (2 de ellos con armario empotrado) y 2 baños completos con plato de ducha. El dormitorio principal tipo suite con baño incluido. La vivienda cuenta con una plaza de garaje incluida en el precio. Además, la comunidad cuenta con PISCINA y PISTAS DEPORTIVAS COMUNITARIAS.La vivienda cuenta todo nuevo, tanto electricidad, fontanería y calefacción. Cuenta además con:- Ventanas de pvc con cristal climalit oscilobatiente- Puertas de madera de haya lacadas en blanco- Luz indirecta en el salón- Radiadores nuevosSe encuentra ubicado en una de las mejores zonas de Toledo, junto al Centro Médico de Buenavista, supermercados, farmacias, parques, colegios.. .Estamos en Paseo San Eugenio 1- GRUPO SUPERCASA TOLEDO.Tu objetivo es nuestro deber. Tu satisfacción nuestro compromiso.",39,3,2,False,False,False,True,False,True,False,Calefacción central,True,,Terraza,C,
104690547, Casa o chalet independiente en venta en calle Herrerillo s/n,Buenavista-Valparaíso-La Legua,365000,192,house,,1 planta,"PRÓXIMA COMERCIALIZACIÓNVIVIENDAS INDEPENDIENTES DE 4 DORMITORIOS DE UNA PLANTA EN PARCELAS DE 300 A 1000 M2Exclusivo proyecto de viviendas de 4 dormitorios en una sola planta, con amplias zonas de jardín en un entorno privilegiado como es el de Cigarrales de Vistahermosa.Viviendas independientes de arquitectura moderna y líneas sencillas y elegantes que, unido a su funcionalidad y luminosidad, hacen que los hogares puedan disfrutarse al máximo en cualquier estación del año.Su cuidada distribución en una planta permite total independencia entre las zonas de día y de noche, buscando siempre la luz, la mejor orientación y los espacios amplios y versátiles. Así, el juego de alturas del salón y su acceso directo al jardín, aportan luz, amplitud y singularidad a la estancia.Comprometidos con el medio ambiente y la eficiencia energética, la vivienda goza de calificación A, gracias a su climatización mediante suelo radiante y refrescante por AEROTERMIA, así como a la calidad de los materiales y su construcción, lo cual aporta a los hogares gran confort y un ahorro económico muy significativo.",5,4,3,False,False,False,False,False,True,False,,,,,C,C
104690602, Casa o chalet independiente en venta en calle Herrerillo s/n,Buenavista-Valparaíso-La Legua,309000,174,house,,1 planta,"PRÓXIMA COMERCIALIZACIÓNVIVIENDAS INDEPENDIENTES DE 4 DORMITORIOS DE UNA PLANTA EN PARCELAS DE 300 A 1000 M2Exclusivo proyecto de viviendas de 4 dormitorios en una sola planta, con amplias zonas de jardín en un entorno privilegiado como es el de Cigarrales de Vistahermosa.Viviendas independientes de arquitectura moderna y líneas sencillas y elegantes que, unido a su funcionalidad y luminosidad, hacen que los hogares puedan disfrutarse al máximo en cualquier estación del año.Su cuidada distribución en una planta permite total independencia entre las zonas de día y de noche, buscando siempre la luz, la mejor orientación y los espacios amplios y versátiles. Así, el juego de alturas del salón y su acceso directo al jardín, aportan luz, amplitud y singularidad a la estancia.Comprometidos con el medio ambiente y la eficiencia energética, la vivienda goza de calificación A, gracias a su climatización mediante suelo radiante y refrescante por AEROTERMIA, así como a la calidad de los materiales y su construcción, lo cual aporta a los hogares gran confort y un ahorro económico muy significativo.",6,4,3,False,False,False,False,False,True,False,,,,,C,C
102854085, Chalet pareado en venta en calle Piñonero,Buenavista-Valparaíso-La Legua,347000,226,house,Segunda mano/buen estado,3 plantas,"HABILIS Consulting Inmobiliario VENDE Chalet Pareado de 277 m2 en parcela de 320 m2. Chalet pareado en tres plantas totalmente exterior, con garaje privado para 2 coches. Planta Principal: Entrada, cocina amueblada, aseo, amplio salón, patio delantero y patio trasero con barbacoa y conjunto de obra sillones y mesa con ladrillo refractario para poder también disfrutar en las tardes más frías. Planta primera: Pasillo distribuidor, 4 habitaciones (habitación principal con baño incorporado) y baño completo con bañera. Planta semi-sótano: Sala polivalente con barra-bar, trastero. Garaje privado para 2 coches. Características generales: Armarios empotrados, calefacción individual de gas, suelos de gres, tarima y marmol, pintura gotelet, puertas interiores de pino, pre-instalación de Aire Acondicionado, Hilo musical, rejas en planta semi-sótano y planta principal, garaje exterior cerrado, ventanas de aluminio con doble acristalamiento, patios solados, mosquiteras, puerta principal de seguridad. Chalet ubicado en una zona residencial muy tranquila, en las inmediaciones de la ciudad de Toledo Cercano a servicios de uso cotidiano, Supermercados, farmacia, guardería, colegio, zonas verdes, parques, restauración, iglesia. Concierte su VISITA sin compromiso. LE ESPERAMOS en nuestras Oficinas en Calle Diputación Nº 7 o en el teléfono Nuestro Departamento Financiero le asesorará de la mejor financiación a su medida para su nuevo HOGAR Solicita tu visita virtual 360º del inmueble a través del formulario de contacto. HABILIS Consulting Inmobiliario - Tú agencia Inmobiliaria de Toledo Capital.",27,4,2,False,False,True,True,False,True,False,Calefacción individual: Gas natural,,,Balcón,C,C
105083893,"Piso en venta en ronda Buenavista, 45",Buenavista-Valparaíso-La Legua,299000,117,flat,Segunda mano/buen estado,Planta 3ª exterior,"INMOTOMAR VENDE: en Toledo, piso en zona Ronda de Buenavista/Reino Unido/Avda. Irlanda, construido en 1993. La distribución de esta vivienda se dispone en 4 dormitorios, 2 baños, Salón con terraza y cocina independiente con tendedero, además consta de trastero, plaza de garaje y piscina comunitariaFACILITAMOS FINANCIACIÓN, CONSÚLTANOS En la zona residencial más cotizada y en auge de Toledo, con fácil acceso al estar situada en la rotonda donde confluyen las avenidas principales de la zona, con parques y zonas infantiles y ajardinadas junto a la urbanización y multitud de servicios como bancos, supermercados, farmacias, tiendas, colegios, institutos, iglesia, bares, restaurantes, instalaciones deportivas, … Características básicas•Vivienda de 129 m² construidos, 117 m² útiles•4 dormitorios, 1 de ellos tipo suite•1 salón con terraza•2 baños•1 cocina independiente con tendedero•1 plaza de garaje •Trastero (63)•Piscina comunitaria•Aire acondicionado frío/calor•Carpintería exterior en aluminio•2ª mano/buen estado•Construido en 1993•Certificación energética: en trámiteEdificio•Construcción de 6 plantas (con ascensor) de uso residencialEquipamiento•Calefacción de gas natural individual•Aire acondicionado•Armarios empotrados.",50,4,2,False,False,False,False,False,False,True,Calefacción individual: Gas natural,True,,Terraza,C,
